Месяц,Мсц (цифрой),Дата,Сумма,Кошелек,Направление бизнеса,[counterparty_1ef22baea0],Назначение платежа,Статья
Апрель,4,28.04.2024,"-200,00",Тинькофф,Общее,,[private_text_d704a344cc],Расходы на персонал
Апрель,4,28.04.2024,"-550,00",Тинькофф,Общее,,[private_text_d704a344cc],Расходы на персонал
Апрель,4,28.04.2024,"-250,00",Тинькофф,Общее,,[private_text_d704a344cc],Расходы на персонал
Апрель,4,28.04.2024,"-236,61",Тинькофф,Общее,,[private_text_d704a344cc],Расходы на персонал
Апрель,4,28.04.2024,"-219,98",Тинькофф,Общее,,[private_text_d704a344cc],Расходы на персонал
Апрель,4,28.04.2024,"-898,27",Тинькофф,Общее,[counterparty_d7a35ccc36],,Оплата поставщикам 
Апрель,4,18.04.2024,"6 400,00",Сбербанк,Общее,,,Поступление — Перевод между счетами
Апрель,4,18.04.2024,"-6 400,00",Сбербанк,Общее,[counterparty_3f0fc87298],,Содержание торговых точек
Апрель,4,19.04.2024,"13 500,00",Сбербанк,Общее,,,Поступление — Перевод между счетами
Апрель,4,19.04.2024,"-13 500,00",Сбербанк,Общее,,,Выбытие — Перевод между счетами
Апрель,4,22.04.2024,"-1 278,30",Сбербанк,Общее,[counterparty_831a0f4ab6],,РКО
Апрель,4,23.04.2024,"-101 500,00",Сбербанк,Общее,,,Выбытие — Перевод между счетами
Апрель,4,23.04.2024,"500,00",Сбербанк,Общее,,,Поступление — Перевод между счетами
Апрель,4,23.04.2024,"101 300,00",Сбербанк,Общее,,,Поступление — Перевод между счетами
Апрель,4,24.04.2024,"86 000,00",Сбербанк,Общее,,,Поступление — Перевод между счетами
Апрель,4,24.04.2024,"-85 990,00",Сбербанк,Общее,[counterparty_e08d6e58b9],,Аренда торговых точек
Апрель,4,26.04.2024,"19 000,00",Сбербанк,Общее,,,Поступление — Перевод между счетами
Апрель,4,26.04.2024,"-19 000,00",Сбербанк,Общее,[counterparty_7e3a73c9be],,Зарплата административного персонала
Апрель,4,27.04.2024,"-619,47",Сбербанк,Общее,[counterparty_831a0f4ab6],,Эквайринг
Апрель,4,23.04.2024,"101 500,00",Сейф,Общее,,,Поступление — Перевод между счетами
Апрель,4,24.04.2024,"-2 000,00",Сейф,Общее,[counterparty_903a43fe3c],,Оплата поставщикам 
Апрель,4,24.04.2024,"-136 300,00",Сейф,Общее,[counterparty_552231dcd7],,Зарплата производственного персонала
Апрель,4,28.04.2024,"7 150,00",Сейф,Общее,,[private_text_3a0ffa326b],Прочие поступления
Апрель,4,20.04.2024,"-900,00",ТК Черникова,Общее,[counterparty_903a43fe3c],,Транспортные услуги
Апрель,4,20.04.2024,"-1 000,00",ТК Черникова,Общее,[counterparty_552231dcd7],,Содержание торговых точек
Апрель,4,13.04.2024,"-900,00",ТК Черникова,Общее,[counterparty_903a43fe3c],,Транспортные услуги
Апрель,4,21.04.2024,"-198,52",ТК Черникова,Общее,,,Корретировки кассы -
Апрель,4,22.04.2024,"-1 000,00",ТК Черникова,Общее,[counterparty_903a43fe3c],,Транспортные услуги
Апрель,4,22.04.2024,"-9 370,00",ТК Черникова,Общее,[counterparty_552231dcd7],,Курьерская служба -
Апрель,4,22.04.2024,"21 732,15",ТК Черникова,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Апрель,4,23.04.2024,"-5 655,00",ТК Черникова,Общее,[counterparty_552231dcd7],,Курьерская служба -
Апрель,4,23.04.2024,"14 665,00",ТК Черникова,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Апрель,4,23.04.2024,"-8 420,00",ТК Черникова,Общее,[counterparty_552231dcd7],,Курьерская служба -
Апрель,4,23.04.2024,"-1 500,00",ТК Черникова,Общее,[counterparty_3f0fc87298],,Содержание торговых точек
Апрель,4,23.04.2024,"-34 800,00",ТК Черникова,Общее,,,Выбытие — Перевод между счетами
Апрель,4,23.04.2024,"34 800,00",Сейф,Общее,,,Поступление — Перевод между счетами
Апрель,4,24.04.2024,"-8 440,00",ТК Черникова,Общее,[counterparty_552231dcd7],,Курьерская служба -
Апрель,4,24.04.2024,"11 579,00",ТК Черникова,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Апрель,4,25.04.2024,"-10 500,00",ТК Черникова,Общее,[counterparty_552231dcd7],,Курьерская служба -
Апрель,4,25.04.2024,"-10 004,00",ТК Черникова,Общее,[counterparty_d7a35ccc36],,Оплата поставщикам 
Апрель,4,25.04.2024,"19 937,00",ТК Черникова,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Апрель,4,26.04.2024,"-10 960,00",ТК Черникова,Общее,[counterparty_552231dcd7],,Курьерская служба -
Апрель,4,26.04.2024,"26 093,00",ТК Черникова,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Апрель,4,27.04.2024,"-6 038,00",ТК Черникова,Общее,[counterparty_d7a35ccc36],,Оплата поставщикам 
Апрель,4,27.04.2024,"-95,00",ТК Черникова,Общее,[counterparty_d7a35ccc36],,Расходы на питание персонала
Апрель,4,27.04.2024,"-15 110,00",ТК Черникова,Общее,[counterparty_552231dcd7],,Курьерская служба -
Апрель,4,27.04.2024,"28 861,00",ТК Черникова,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Апрель,4,28.04.2024,"-13 500,00",ТК Черникова,Общее,[counterparty_552231dcd7],,Курьерская служба -
Апрель,4,28.04.2024,"19 148,00",ТК Черникова,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Апрель,4,29.04.2024,"28 232,41",Альфа,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Апрель,4,29.04.2024,"-24,54",Альфа,Общее,[counterparty_831a0f4ab6],,Эквайринг
Апрель,4,29.04.2024,"-1 743,07",Тинькофф,Общее,[counterparty_831a0f4ab6],,Эквайринг
Апрель,4,29.04.2024,"116 187,75",Тинькофф,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Апрель,4,29.04.2024,"-999,81",Тинькофф,Общее,,[private_text_d704a344cc],Расходы на персонал
Апрель,4,29.04.2024,"-145,00",Тинькофф,Общее,,[private_text_d704a344cc],Расходы на персонал
Апрель,4,29.04.2024,"-1 706,63",Тинькофф,Общее,[counterparty_b2323408fa],,Оплата поставщикам 
Апрель,4,29.04.2024,"-16 377,62",Тинькофф,Общее,[counterparty_d7a35ccc36],,Оплата поставщикам 
Апрель,4,29.04.2024,"-27,99",Тинькофф,Общее,[counterparty_d7a35ccc36],,Содержание торговых точек
Апрель,4,29.04.2024,"-954,92",Тинькофф,Общее,[counterparty_d7a35ccc36],,Расходы на питание персонала
Апрель,4,29.04.2024,"27 950,00",Сейф,Общее,,,Поступление — Перевод между счетами
Апрель,4,29.04.2024,"-5 896,80",Сейф,Общее,[counterparty_07485de87e],,Оплата поставщикам 
Апрель,4,29.04.2024,"-6 764,00",Сейф,Общее,[counterparty_5ea766e786],,Оплата поставщикам 
Апрель,4,29.04.2024,"-6 096,50",Сейф,Общее,[counterparty_5ea766e786],,Оплата поставщикам 
Апрель,4,29.04.2024,"-11 500,00",ТК Черникова,Общее,[counterparty_552231dcd7],,Курьерская служба -
Апрель,4,29.04.2024,"-4,00",ТК Черникова,Общее,,,Корретировки кассы -
Апрель,4,29.04.2024,"26 504,00",ТК Черникова,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Апрель,4,29.04.2024,"-127,00",ТК Черникова,Общее,[counterparty_d7a35ccc36],,Расходы на питание персонала
Апрель,4,29.04.2024,"-12 735,00",ТК Черникова,Общее,[counterparty_d7a35ccc36],,Оплата поставщикам 
Апрель,4,29.04.2024,"-27 950,00",ТК Черникова,Общее,,,Выбытие — Перевод между счетами
Апрель,4,30.04.2024,"-2 000,00",ТК Черникова,Общее,[counterparty_3f0fc87298],[private_text_b40410bcbc],Содержание торговых точек
Апрель,4,30.04.2024,"-900,00",ТК Черникова,Общее,[counterparty_903a43fe3c],,Оплата поставщикам 
Апрель,4,30.04.2024,"-12 640,00",ТК Черникова,Общее,[counterparty_552231dcd7],,Курьерская служба -
Апрель,4,30.04.2024,"23 475,00",ТК Черникова,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Апрель,4,30.04.2024,"19 570,00",Сейф,Общее,,,Поступление — Перевод между счетами
Апрель,4,29.04.2024,"131 205,00",Сейф,Корпоративные клиенты,[counterparty_d346fb5ae4],,Поступление денег с торг. точек
Апрель,4,30.04.2024,"-149 575,00",Сейф,Общее,[counterparty_552231dcd7],,Зарплата производственного персонала
Апрель,4,30.04.2024,"-10 400,00",Сейф,Общее,[counterparty_416f60a5fd],[private_text_38c55cba4e],Расходы на персонал
Апрель,4,30.04.2024,"-1 000,00",Сейф,Общее,[counterparty_45d6b05c94],,Поиск и найм персонала
Апрель,4,20.04.2024,"-99,00",Сейф,Общее,[counterparty_831a0f4ab6],,РКО
Апрель,4,20.04.2024,"-100,00",Сейф,Общее,[counterparty_831a0f4ab6],,РКО
Апрель,4,30.04.2024,"100 000,00",Сбербанк,Общее,,,Поступление — Перевод между счетами
