dish_name,period_start,period_end,dish_group_top,dish_category,orders,dish_amount,revenue,gross_sum,product_cost,food_cost_share_calc,gross_margin_calc,gross_margin_share_calc,product_profit_api,avg_check
Флори,2025-11-01,2026-05-17,Роллы,Роллы,21.0,21.0,7007.32,8642.0,2388.05,0.3407936272355195,4619.2699999999995,0.6592063727644806,4619.2699999999995,333.6819047619048
Бекон,2025-11-01,2026-05-17,Добавки в шаурму,Шаурма,174.0,207.0,6986.150000000001,8280.0,1939.9250000000002,0.277681555649392,5046.225,0.722318444350608,5046.225,40.15028735632184
Уратама,2025-11-01,2026-05-17,Роллы,Роллы,21.0,21.0,6849.08,8146.0,2237.4900000000002,0.3266847518206825,4611.59,0.6733152481793175,4611.59,326.14666666666665
Калифорния с лососем терияки,2025-11-01,2026-05-17,Роллы,Роллы,19.0,20.0,6457.06,7152.0,1878.76,0.2909621406646368,4578.3,0.7090378593353631,4578.3,339.84526315789475
Доставка 200,2025-11-01,2026-05-17,Доставка,Услуги доставки,33.0,42.0,5649.05,8400.0,0.0,0.0,5649.05,1.0,5649.05,171.18333333333334
Доставка 500,2025-11-01,2026-05-17,Доставка,Услуги доставки,13.0,17.0,5311.69,8500.0,0.0,0.0,5311.69,1.0,5311.69,408.59153846153845
Классический с угрем,2025-11-01,2026-05-17,Роллы,Роллы,22.0,23.0,5208.610000000001,8090.0,2550.62,0.4896930275063788,2657.9900000000007,0.5103069724936212,2657.9900000000002,236.75500000000002
Отдаленные районы 120р,2025-11-01,2026-05-17,Доставка,(пусто),76.0,82.0,5201.340000000001,10080.0,0.0,0.0,5201.340000000001,1.0,5201.340000000001,68.43868421052633
Соус кисло-сладкий Heinz,2025-11-01,2026-05-17,Соусы,Все блюда,135.0,189.0,4938.18,7785.0,1322.65,0.2678415934615587,3615.53,0.7321584065384413,3615.53,36.57911111111111
Халапеньо,2025-11-01,2026-05-17,Добавки в шаурму,Шаурма,215.0,244.0,4865.82,6100.0,1451.091,0.2982212658914633,3414.729,0.7017787341085366,3414.729,22.631720930232557
3 маленькие пиццы,2025-11-01,2026-05-17,Комбо наборы,Комбо-набор,6.0,6.0,4497.0,8994.0,181.45999999999998,0.04035134534133866,4315.54,0.9596486546586613,4315.54,749.5
3 большие пиццы,2025-11-01,2026-05-17,Комбо наборы,Комбо-набор,3.0,12.0,4398.0,26388.0,821.0,0.18667576170986813,3577.0,0.8133242382901319,3577.0,1466.0
Невада,2025-11-01,2026-05-17,Роллы,Роллы,8.0,8.0,4168.23,5328.0,1968.86,0.472349174589694,2199.37,0.5276508254103061,2199.37,521.02875
