Год,Мсц (цифрой),Дата,Сумма,Контрагент,Назначение платежа,Статья,Платеж/поступл
,,20.11.2024,"2 000,00",[counterparty_hash:856bc7fd96],[private_purpose_hash:d4ca1dab75],Курьерская служба +,
,,26.11.2024,"1 400,00",[counterparty_hash:7518be4ba8],[private_purpose_hash:3f689c75a6],Прочие поступления,
,,26.11.2024,"100,00",[counterparty_hash:856bc7fd96],[private_purpose_hash:a7b07acb33],Курьерская служба +,
,,22.11.2024,"-971,97",[counterparty_hash:2a84eb0be0],,Оплата поставщикам ,
,,22.11.2024,"-15 680,00",[counterparty_hash:856bc7fd96],,Курьерская служба -,
,,22.11.2024,"17 088,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,23.11.2024,"-13 380,00",[counterparty_hash:856bc7fd96],,Курьерская служба -,
,,23.11.2024,"31 831,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,22.11.2024,"-50 908,05",[counterparty_hash:81088c4e1c],,Оплата поставщикам ,
,,24.11.2024,"-15 420,00",[counterparty_hash:856bc7fd96],,Курьерская служба -,
,,24.11.2024,"30 019,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,22.11.2024,"-8 610,87",[counterparty_hash:10ad09b2bf],,Оплата поставщикам ,
,,25.11.2024,"-8 920,00",[counterparty_hash:856bc7fd96],,Курьерская служба -,
,,25.11.2024,"24 683,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,22.11.2024,"-19 250,00",[counterparty_hash:81088c4e1c],,Оплата поставщикам ,
,,25.11.2024,"-257,00",[counterparty_hash:2a84eb0be0],,Расходы на питание персонала,
,,22.11.2024,"-33 272,85",[counterparty_hash:55d2a5f343],,Оплата поставщикам ,
,,26.11.2024,"-40 972,00",,,Выбытие — Перевод между счетами,
,,26.11.2024,"-6 960,00",[counterparty_hash:856bc7fd96],,Курьерская служба -,
,,26.11.2024,"19 932,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,27.11.2024,"-8 320,00",[counterparty_hash:856bc7fd96],,Курьерская служба -,
,,27.11.2024,"17 601,85",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,22.11.2024,"-1 850,00",[counterparty_hash:bc434624a0],,Оплата поставщикам ,
,,28.11.2024,"-7 430,00",[counterparty_hash:856bc7fd96],,Курьерская служба -,
,,28.11.2024,"9 085,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,29.11.2024,"-18 240,00",[counterparty_hash:856bc7fd96],,Курьерская служба -,
,,29.11.2024,"37 957,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,22.11.2024,"-2 268,00",[counterparty_hash:81088c4e1c],,Оплата поставщикам ,
,,22.11.2024,"-151 027,00",[counterparty_hash:01761130fc],,Оплата поставщикам ,
,,22.11.2024,"-23 408,50",[counterparty_hash:acffbdf399],,Оплата поставщикам ,
,,30.11.2024,"-16 700,00",[counterparty_hash:856bc7fd96],,Курьерская служба -,
,,30.11.2024,"37 725,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,22.11.2024,"-45 294,84",[counterparty_hash:4b0e39f45b],,Оплата поставщикам ,
,,30.11.2024,"-6,00",[counterparty_hash:2a84eb0be0],,Содержание торговых точек,
,,01.12.2024,"-1 560,00",[counterparty_hash:856bc7fd96],,Курьерская служба -,
,,01.12.2024,"-9 000,00",[counterparty_hash:856bc7fd96],,Курьерская служба -,
