,,,,,,,,,
Контрагент,Статья,Номер счета,Сумма план,Дата планируемой оплаты,Комментарий,,Год план,Месяц план,Номер недели план
[counterparty_hash:4e9e5a80a9],Сайт и приложение,,"р.90 000,00",05.03.2024,,,2024,3,
[counterparty_hash:01761130fc],Оплата поставщикам ,,"р.127 000,00",22.03.2024,,,2024,3,
[counterparty_hash:4b0e39f45b],Оплата поставщикам ,,"р.33 000,00",22.03.2024,,,2024,3,
[counterparty_hash:81088c4e1c],Оплата поставщикам ,,"р.58 000,00",22.03.2024,,,2024,3,
[counterparty_hash:acffbdf399],Оплата поставщикам ,,"р.28 000,00",22.03.2024,,,2024,3,
[counterparty_hash:55d2a5f343],Оплата поставщикам ,,"р.25 000,00",22.03.2024,,,2024,3,
[counterparty_hash:c7da8c8c1f],Оплата поставщикам ,,"р.28 000,00",22.03.2024,,,2024,3,
[counterparty_hash:64b5ca4d90],Оплата поставщикам ,,"р.5 000,00",22.03.2024,,,2024,3,
[counterparty_hash:1340ea64e9],Оплата поставщикам ,,"р.10 000,00",22.03.2024,,,2024,3,
[counterparty_hash:e0e7137bcf],Оплата поставщикам ,,"р.2 000,00",22.03.2024,,,2024,3,
[counterparty_hash:2a84eb0be0],Оплата поставщикам ,,"р.40 000,00",22.03.2024,,,2024,3,
[counterparty_hash:01761130fc],Оплата поставщикам ,,"р.90 000,00",29.03.2024,,,2024,3,
[counterparty_hash:4b0e39f45b],Оплата поставщикам ,,"р.40 000,00",29.03.2024,,,2024,3,
[counterparty_hash:81088c4e1c],Оплата поставщикам ,,"р.60 000,00",29.03.2024,,,2024,3,
[counterparty_hash:acffbdf399],Оплата поставщикам ,,"р.31 000,00",29.03.2024,,,2024,3,
[counterparty_hash:55d2a5f343],Оплата поставщикам ,,"р.25 000,00",29.03.2024,,,2024,3,
[counterparty_hash:c7da8c8c1f],Оплата поставщикам ,,"р.29 000,00",29.03.2024,,,2024,3,
[counterparty_hash:64b5ca4d90],Оплата поставщикам ,,"р.5 000,00",29.03.2024,,,2024,3,
[counterparty_hash:1340ea64e9],Оплата поставщикам ,,"р.10 000,00",29.03.2024,,,2024,3,
