dish,top_group,group,me_class,verdict,units_standalone,units_inset_line,set_phantom_units,effective_units,n_sets,sets_structural,sets_behavioral,revenue_standalone,margin_standalone_est,margin_pct,recent3_units,months_active,orders,verdict_reason
Аляска,Роллы,Фирменные роллы,Собака,Оставить,69,0,98,167,1,1,0,20605,14226,69.0,35,7,67,нормальная проходимость в рознице
Горячий с копченым лососем,Роллы,Жареные,Звезда,Оставить,162,0,0,162,0,0,0,52877,38657,73.1,69,7,157,нормальная проходимость в рознице
Хикару,Роллы,Фирменные роллы,Собака,Оставить — несёт сеты,20,0,136,156,1,1,0,7418,5358,72.2,11,7,20,"в рознице слабо (20 шт), но проникновение в сеты: +136 шт, 1 сет(ов)"
Шаурма от шефа,Шаурма,Шаурма,Звезда,Оставить,154,0,0,154,0,0,0,88158,58482,66.3,58,7,136,нормальная проходимость в рознице
Баварская,Пицца,Пицца,Звезда,Оставить,148,0,0,148,0,0,0,111559,77358,69.3,75,7,142,нормальная проходимость в рознице
Баунти,Роллы,сладкие роллы,Звезда,Оставить,141,0,0,141,0,0,0,41771,29707,71.1,66,7,134,нормальная проходимость в рознице
Ветчина-грибы,Пицца,Пицца,Звезда,Оставить,140,0,0,140,0,0,0,96977,68255,70.4,54,7,138,нормальная проходимость в рознице
Классическая,Пицца,Пицца,Звезда,Оставить,137,0,0,137,0,0,0,78252,53718,68.6,65,7,135,нормальная проходимость в рознице
Филадельфия классик,Роллы,Фирменные роллы,Звезда,Оставить,135,0,0,135,0,0,0,75268,43378,57.6,79,7,126,нормальная проходимость в рознице
Лава с лососем,Роллы,Фирменные роллы,Рабочая лошадка,Оставить,132,0,0,132,0,0,0,35074,22354,63.7,75,7,129,нормальная проходимость в рознице
Карбонара,Пицца,Пицца,Звезда,Оставить,128,0,0,128,0,0,0,104677,72639,69.4,70,7,127,нормальная проходимость в рознице
Мидии запеченные под сырным соусом,Закуски,Закуски,Звезда,Оставить,128,0,0,128,0,0,0,46297,31950,69.0,62,7,121,нормальная проходимость в рознице
Шаурма гавайская,Шаурма,Шаурма,Звезда,Оставить,126,0,0,126,0,0,0,42045,25245,60.0,54,7,113,нормальная проходимость в рознице
