 Регистрация категорий,,,,,Особоые условия по депозитам (Для внештатников проставь НУЛИ),,,,Выдача депозитов,,,,Регистрация вступления в должность старших поваров,,,,Регистрация штрафов и премий,,,,
Дата постановки на категорию,Имя сотрудника,Должность,Категория,,Имя сотрудника,Требуемый депозит (указать при особых условиях),Сумма удержания (указать при особых условиях),,Имя сотрудника,Депозит при уволнении,Коэффициент выдачи ,,Дата вступления в должность,Имя сотрудника,Надбавка,,Дата,Имя сотрудника,Сумма,Вид начисления/списания,[redacted_comment]
03.07.2025,employee_5a3e1adb3f,Пиццерист,2,,,,,,,,,,,,,,17.06.2025,employee_9747b9d844,127,Штрафы и удержания,[redacted_comment]
04.07.2025,employee_6893634fa4,Шаурмист,5,,,,,,,,,,,,,,18.06.2025,employee_9747b9d844,32,Штрафы и удержания,[redacted_comment]
14.07.2025,employee_61b8f428c3,Сушист,5,,,,,,,,,,,,,,18.06.2025,employee_7448260c20,"86,61",Штрафы и удержания,[redacted_comment]
16.07.2025,employee_3a10af3781,Администратор,4,,,,,,,,,,,,,,18.06.2025,employee_3fa5f3a2b5,"107,16",Штрафы и удержания,[redacted_comment]
18.07.2025,employee_a43b07b2aa,Сушист,2,,,,,,,,,,,,,,20.06.2025,employee_abf859686b,"356,64",Штрафы и удержания,[redacted_comment]
15.07.2025,employee_ac996276a1,Сушист,5,,,,,,,,,,,,,,22.06.2025,employee_445cbb2a20,"44,56",Штрафы и удержания,[redacted_comment]
01.08.2025,employee_49edfc8fac,Шаурмист,5,,,,,,,,,,,,,,25.06.2025,employee_3fa5f3a2b5,300,Премия,[redacted_comment]
13.08.2025,employee_b16f896b29,Сушист,2,,,,,,,,,,,,,,24.06.2025,employee_abf859686b,500,Премия,[redacted_comment]
19.08.2025,employee_ac996276a1,Шаурмист,3,,,,,,,,,,,,,,24.06.2025,employee_908545f9b4,500,Премия,[redacted_comment]
04.09.2025,employee_3fa5f3a2b5,Сушист,1,,,,,,,,,,,,,,25.06.2025,employee_3c4a629691,500,Премия,[redacted_comment]
30.08.2025,employee_1817e861dd,Пиццерист,5,,,,,,,,,,,,,,26.06.2025,employee_dfa826d51c,3500,Премия,[redacted_comment]
